id,normalized_name,gender
391,davey,
392,goliath,
394,panelist 1,
395,blockbuster announcer,
396,top hat announcer,
397,stock reporter,
398,boxing announcer 1,
399,boxing announcer 2,
400,challenger,
401,referee,
402,kindly old gent,
403,stanley,
405,busboy,
406,australian boy,
407,australian girl,
408,jeweler,
409,senator mendoza,
410,board member,
411,female commando,
412,theatre manager,
413,floozy,
416,attendant,
418,policeman,
419,executive 2,
420,head engineer,
421,engineer 2,
422,engineer 3,
423,female singer,
424,counter man,
425,flanderss thoughts,
428,kelly,
430,father mcgrath,
431,salesboy,
432,hula woman,
434,bea,
435,checker,
332,dr julius hibbert,m
404,groundskeeper willie,m
426,troy mcclure,m
347,lionel hutz,m
417,herb,m
414,mona simpson,f
335, Jr. roger meyers jr,m
351,blue-haired lawyer,m
349,dr nick riviera,m
373,artie ziff,m
353,larry,m
370,principal dondelinger,m
427,emily,f
356,akira,m
429,jack,m
330,track announcer,m
346,devil,m
433,farmer,m
345,reporter,m
331,murdock,m
437,tracker,
438,mr hazelwood,
439,cabbie,
440,kent,
441,monroe,
443,old man daly,
444,old man mcgrath,
445,plato,
446,croupier,
447,recorded announcer,
448,old woman in line,
449,monitor 1,
450,monitor 2,
451,female newscaster,
452,mr schindler,
453,student,
454,registrar,
455,professor lombardo,
456,bart lisa,
457,artist,
458,delivery man,
459,mr burns geometric shapes,
460,ringo,
461,wetherby,
462,mrs hoover,
463,chuck,
466,classmate,
467,terrisherri,
468,woman in booth,
469,landlady,
470,kid reporter,
471,husband of marges friend,
472,sophisticate 1,
473,sophisticate 2,
474,sophisticate 3,
475,sultan,
476,worm man,
480,convict,
481,customer,
482,diamond joe,
483,lost and found guy,
484,radioactive man,
485,fallout boy,
486,convention director,
487,buddy,
488,dealer,
489,young patty,
490,young selma,
492,older patty,
493,older selma,
494,adult narrator,
495,teller,
497,asa,
498,soap actress,
499,soap actor,
500,osvaldo,
501,mail person,
502,roman,
503,postal worker,
505,joey,
506,guard 1,
507,guard 2,
509,psychiatrist,
510,orderly,
512,floyd,
513,barts head,
515,voice on phone,
519,leon kompowsky,
520,minnesota girl,
521,alabama boy,
522,queens boy,
523,female judge,
524,dad,
525,flight attendant,
527,irs man,
528,hotel guest,
529,miss crowley,
530,truongmaria,
531,truong,
532,maria,
534,worker,
535,guide,
536,lobbyist,
537,arnold,
538,newlywed wife,
539,white trash woman 1,
540,man 3,
541,old timer,
542,guy,
543,songster,
544,page,
545,senator,
546,oil developer,
442,professor jonathan frink,m
518,snake jailbird,m
464,miss hoover,f
465,bergstrom,m
511,michael,m
526,pilot,m
478,john,m
508,host,m
436,guard,m
477,gloria,f
479,captain,m
496,mrs glick,f
516,doctor,m
533,barbara,f
517,dave,m
514,wiseguy,m
547,agent,
548,speaker,
549,majority leader,
550,everyone else,
551,president,
552,foreign dignitary,
553,paper boy,
554,sportscaster 1,
555,girl,
556,neighborhood guy,
557,homemaker,
558,landscaper,
559,choreographer,
560,george washington,
561,video voice,
562,man shopper,
563,homer contd,
564,collection agent,
565,wife,
566,shoppers,
569,legs,
571,race announcer,
572,jack larson,
573,fbi agent 1,
574,fbi agent 2,
575,rival gang leader,
576,psychic,
577,skinner body,
578,prosecuting attorney,
579,joe,
580,neil,
581,calm woman,
582,mr devereaux,
583,margarita,
584,program voices,
586,female worker,
